area,balcony_direction,house_direction,facade_width,price,interior,legality,bedrooms,bathrooms,floors,title,road_width,price_per_m2
100.0,0,0,0.0,11000.0,2,2,3,2,0,Chủ nhà tin tưởng gửi bán gấp căn hộ DT 100m2 110m 155m 231m2 duplex penhouse dự án Starlake Tây Hồ,0.0,110.0
99.0,0,0,4.0,2500.0,0,2,0,0,0,"Phân lô Bích Đào 99m2 MT 4.5m, giá 2.5 tỷ đường 10m",10.0,25.252525252525253
175.0,0,0,7.0,680.0,0,2,0,0,0,Gia đình cần bán lô đất của để dành tại khu tái định cư Hải An - Hải Lăng - Quảng Trị,13.0,3.8857142857142857
94.5,5,5,4.0,2400.0,1,2,2,3,1,"Bán gấp nhà mặt phố đường 4, 2,4 tỷ, 94,5m2 tại Cà Mau",14.0,25.396825396825395
57.0,0,0,4.0,9850.0,0,2,4,3,4,"Bán nhà 57m2 x 3T, mặt tiền 4m, 30m ra phố Đại La - Trung tâm Quận Hai Bà Trưng",4.0,172.80701754385964
57.5,0,7,4.0,89.0,0,2,0,0,0,"Bán đất gấp tại Xã Vân Nội, Đông Anh, Hà Nội, 89 triệu, 57.5m2",3.0,1.5478260869565217
52.5,0,0,0.0,4000.0,1,1,2,2,0,"Bán nhà riêng 52.5m2, 4tỷ, đường 6, Hiệp Bình Phước, Thủ Đức, HCM",0.0,76.19047619047619
92.0,7,3,0.0,3000.0,2,1,3,2,0,"Bán căn hộ 3 phòng ngủ, 2WC, rộng 92m2 tại City Gate Towers, 3 tỷ VND. LH xem nhà 24/7: 0907 383 ***",0.0,32.608695652173914
57.0,0,0,0.0,4450.0,1,2,4,3,3,"Nhà Diện Tích Lớn , Lưu Hữu Phước Phường 15 Quận 8",0.0,78.0701754385965
62.0,0,0,3.0,6000.0,0,2,2,1,2,"Bán gấp nhà chính chủ 1 đời hẻm thông 15m ra Tạ Quang Bửu, gần Aeon Mall Quận 8",3.0,96.7741935483871
52.0,5,1,0.0,1300.0,1,2,2,1,0,Căn hộ Iris Tower Thuận An gần Quốc lộ 13 - Đã có sổ hồng - Ngân hàng cho vay 80% -Nhận nhà ngay,0.0,25.0
122.0,0,0,0.0,10200.0,2,2,3,2,0,"Chính chủ cần bán căn hộ chung cư Cảnh Viên 1, 10,2 tỷ, 122m2, 3PN, 2WC, nhà y hình",0.0,83.60655737704919
54.3,0,0,0.0,2250.0,1,2,2,2,0,"Chung cư CitiSoho - Q2 DT: 54,3m2. View Tây Bắc. Sổ hồng vĩnh viễn chỉ 2 tỷ 250",0.0,41.43646408839779
78.0,0,0,0.0,3800.0,1,2,2,2,0,"BÁN CĂN HỘ MIZUKI PARK 78M2 THÁP MP6,7,8 ĐÃ CÓ SỔ HỒNG HỖ TRỢ VAY LÃI SUẤT ƯU ĐÃI",0.0,48.717948717948715
100.0,0,0,0.0,7400.0,2,2,3,2,0,"Bán CC Sông Hồng Park View, 7,4 tỷ, 100m2, 3PN, 2WC tại Thái Hà, Đống Đa, Hà Nội, giá tốt",0.0,74.0
100.0,0,0,5.0,9380.0,1,2,2,1,1,"Ngay Ga Metro Bình Thái! Bá, Dien tich dep 5x20m 9tỷ khu Him Lam Trường Thọ",6.0,93.8
60.0,0,0,0.0,4170.0,1,2,2,2,0,Mình cần bán gấp căn hộ cao cấp HD Mon City Hàm Nghi Nguyễn Cơ Thạch. sang năm đi du học..,0.0,69.5
110.0,0,0,0.0,14900.0,0,2,3,2,0,"Bán căn hộ Aqua Central 44 Yên Phụ, 110m2 3PN, view Sông Hồng, nội thất cao cấp, giá 14.9 tỷ",0.0,135.45454545454547
58.0,0,0,3.0,7800.0,2,2,3,4,5,Cơ hội vàng sở hữu căn nhà phân lô - đường Giải Phóng,3.0,134.48275862068965
98.0,0,0,0.0,4300.0,2,2,3,2,0,"Bán nhà chung cư CT2 Khu nhà ở Bộ tư lệnh Thủ đô, Yên Nghĩa, Hà Đông, HN 98m2",0.0,43.87755102040816
110.0,0,0,5.0,4550.0,2,2,3,4,1,"BÁN NHÀ 1 TRỆT 1 LẦU PHƯỜNG HIỆP THÀNH ĐÃ HOÀN CÔNG NGANG 5,4M MẶT TIỀN XE HƠI THÔNG KHU HIỆP THÀNH",5.0,41.36363636363637
